,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000004455,4.773252963,8.123188676,9.404975893,15.42305228,10.00608622
ENSG00000147853,15.31245244,48.11159342,31.35289639,13.83416038,27.08808793
ENSG00000162433,4.646851739,27.10297771,1.878567114,2.048820485,4.27711946
ENSG00000154027,50.99950024,9.013377591,61.93763566,15.92617424,15.72041947
ENSG00000121057,6.005487104,7.711345269,5.086097773,8.269870793,6.208221405
ENSG00000108599,12.73692326,20.09727877,16.009383,20.62070263,11.71820309
ENSG00000023516,29.81762912,16.50235494,16.18422898,16.42177227,16.78772593
ENSG00000131016,10.41525147,19.51738396,6.198764421,4.672842419,51.70207111
ENSG00000170776,2.227559982,7.364256286,2.012611116,33.53573189,10.60459043
ENSG00000179841,4.318752888,1.462383578,1.302207861,1.466310004,0.987767475
ENSG00000151320,38.52738952,14.11975272,48.72585529,9.363026547,7.124744505
ENSG00000118507,12.55118764,21.72791047,10.36074502,12.46447367,12.29029426
ENSG00000105127,6.033538686,10.11171811,7.20172738,10.08160938,12.27759354
ENSG00000011243,14.93229958,20.1316746,8.624988731,10.1815625,5.30457603
ENSG00000127914,27.74896983,28.84760022,21.24047108,18.39249926,20.34712892
ENSG00000166452,6.58330571,6.07631221,7.382619526,10.84888286,10.14683159
ENSG00000174574,16.43678081,16.04194689,28.95552846,19.44575087,17.31066897
ENSG00000135334,22.26919972,12.66084832,12.47392867,24.67107298,13.21353014
ENSG00000117448,7.897821671,9.055368713,13.66971347,37.7343743,5.839969278
ENSG00000085662,18.59602047,10.89171895,18.5564063,36.73478322,22.11600141
ENSG00000165568,1.949579035,0.493584093,0.785507008,2.038337262,8.335351125
